Model,Strategy,Experiment,Accuracy,F1,AUROC
CNN,FedAvg,CNN-FedAvg,0.773196198,0.763200182,0.863941392
CNN-LSTM,FedAvg,CNN-LSTM-FedAvg,0.877366371,0.830754578,0.926282051
CNN-LSTM-Attn,FedAvg,CNN-LSTM-Attn-FedAvg,0.837173134,0.821181345,0.916564103
HAFN,FedAvg,HAFN-FedAvg,0.915723859,0.890997801,0.963051282
MSTCN,FedAvg,MSTCN-FedAvg,0.885990338,0.838641238,0.979307692
CNN,FedProx,CNN-FedProx,0.762421692,0.747959222,0.855562882
CNN-LSTM,FedProx,CNN-LSTM-FedProx,0.90763285,0.882486966,0.922153846
CNN-LSTM-Attn,FedProx,CNN-LSTM-Attn-FedProx,0.85031323,0.836105301,0.917666667
HAFN,FedProx,HAFN-FedProx,0.915530622,0.881523855,0.960820513
MSTCN,FedProx,MSTCN-FedProx,0.838937198,0.781670678,0.941615385
CNN,CFL,CNN-CFL,0.789184977,0.77897124,0.863030525
CNN-LSTM,CFL,CNN-LSTM-CFL,0.88741468,0.837409489,0.912461538
CNN-LSTM-Attn,CFL,CNN-LSTM-Attn-CFL,0.83656849,0.817202356,0.927538462
HAFN,CFL,HAFN-CFL,0.914782609,0.88100353,0.94525641
MSTCN,CFL,MSTCN-CFL,0.823574879,0.762816239,0.944128205
CNN,FedNova,CNN-FedNova,0.789961041,0.777905517,0.873870574
CNN-LSTM,FedNova,CNN-LSTM-FedNova,0.896908213,0.859488366,0.945820513
CNN-LSTM-Attn,FedNova,CNN-LSTM-Attn-FedNova,0.85031323,0.83922085,0.913333333
HAFN,FedNova,HAFN-FedNova,0.922197288,0.893823795,0.930512821
MSTCN,FedNova,MSTCN-FedNova,0.807729469,0.751016959,0.926538462
